name,manufacturer_name,salt_name,pack_type,price,ppu
Imbruvica 140mg Capsule,Janssen Pharmaceuticals,Ibrutinib,capsule,436000.0,3633.33
Tecentriq 1200mg Injection,Roche Products India Pvt Ltd,Atezolizumab,vial,396725.0,19836.25
Xtandi 40mg Soft Capsule,Astellas Pharma Inc,Enzalutamide,capsule,335635.0,2996.74
Besponsa 1mg Injection,Pfizer Ltd,Inotuzumab Ozogamacin,vial,330000.0,330000.0
Imbruvica 140mg Capsule,Janssen Pharmaceuticals,Ibrutinib,capsule,328000.0,3644.44
Lorbriqua 100mg Tablet,Pfizer Ltd,Lorlatinib,tablet,312000.0,10400.0
Tecentriq Injection,Roche Products India Pvt Ltd,Atezolizumab,vial,277708.0,19836.29
Cyramza 500mg Injection,Eli Lilly and Company India Pvt Ltd,Ramucirumab,vial,257532.0,5150.64
Perjeta 420mg Injection,Roche Products India Pvt Ltd,Pertuzumab,vial,255150.0,18225.0
Kadcyla 160mg Injection,Roche Products India Pvt Ltd,Ado-trastuzumab emtansine,vial,248937.0,248937.0
Keytruda Injection,MSD Pharmaceuticals Pvt Ltd,Pembrolizumab,vial,236500.0,59125.0
Sprycel 70mg Tablet,BMS India Pvt  Ltd,Dasatinib,tablet,211539.0,3525.64
Tagrisso 80mg Tablet,AstraZeneca,Osimertinib,tablet,204436.0,20443.58
Tagrisso 40mg Tablet,AstraZeneca,Osimertinib,tablet,202391.0,20239.15
Sprycel 50mg Tablet,BMS India Pvt  Ltd,Dasatinib,tablet,197238.0,3287.3
