comp_and_type,brand_count,min_ppu,max_ppu,price_ratio
Cefoperazone (500mg) + Sulbactam (500mg) | vial,443,5.0,31069.0,6213.8
Povidone Iodine (5% w/v) | solution,32,0.167,481.6,2892.5
Diclofenac (50mg) + Paracetamol (500mg) | tablet,512,0.018,37.49,2118.4
Doxorubicin (Plain) (50mg) | vial,33,10.484,18250.0,1740.7
Chlorhexidine Gluconate (0.2% w/v) | other,89,0.319,350.0,1097.2
Sparfloxacin (200mg) | tablet,206,0.04,37.4,928.0
Paracetamol (1000mg) | other,93,0.388,310.0,800.0
Meropenem (250mg) | vial,69,3.4,2675.0,786.8
Amikacin (100mg) | vial,503,1.5,1107.0,738.0
Cefuroxime (500mg) | tablet,1297,0.313,210.0,672.0
Hydrocortisone (100mg) | vial,115,0.47,300.0,638.3
Paclitaxel (100mg) | vial,55,30.462,18270.5,599.8
Docetaxel (120mg) | vial,36,31.47,18000.0,572.0
Levosalbutamol (1mg) + Ambroxol (30mg) | syrup,70,0.65,337.0,518.5
Fluconazole (150mg) | tablet,881,0.99,510.0,515.2
Nimesulide (100mg) | tablet,606,0.025,11.99,479.6
Paclitaxel (260mg) | vial,31,27.725,12100.0,436.4
Cefpodoxime Proxetil (200mg) | tablet,1626,0.125,52.25,418.0
Amoxycillin  (1000mg) + Clavulanic Acid (200mg) | vial,479,1.997,830.0,415.7
Tranexamic Acid (250mg) + Ethamsylate (250mg) | tablet,121,0.095,32.0,337.6
