manufacturer_name,products,avg_premium,avg_ppu
Venus Remedies Ltd,139,26.92,416.92
Win-Medicare Pvt Ltd,150,8.8,55.7
Roma Pharma Pvt Ltd,93,8.05,63.72
Qgensun Healthcare,56,7.41,43.69
Taj Pharma India Ltd,339,5.35,470.96
Vytrax Healthcare,71,5.12,262.02
Gufic Bioscience Ltd,123,4.39,925.15
Dr. Edwin Lab,187,4.37,111.93
Somkee India Private Limited,54,4.29,224.68
Modi Mundi Pharma Pvt Ltd,67,4.26,179.1
Chandra Bhagat Pharma Pvt Ltd,137,4.23,795.59
Overseas Pharma Pvt Ltd,60,4.07,77.87
Converge Biotech,51,3.83,516.25
Watran Pharmaceuticals Pvt. Ltd.,54,3.77,68.97
Supermax Laboratories,72,3.75,174.37
