manufacturer_name,products,avg_premium
Davaindia Generic Pharmacy,379,0.35
Zeelab Pharmacy Pvt Ltd,307,0.37
Sarvagunaushdhi Pvt Ltd,405,0.53
DR Best pharmaceuticals Pvt Ltd,172,0.55
Reco Drugs,57,0.56
Unison Pharmaceuticals Pvt Ltd,177,0.66
Elite Pharma Pvt Ltd,142,0.77
Walton Healthcare Pvt. Ltd,51,0.79
Indamed Pharmaceuticals Pvt Ltd,53,0.8
RKG Pharma,97,0.8
Sunrise Remedies Pvt Ltd,130,0.8
Systopic Laboratories Pvt Ltd,228,0.8
Elikem Pharmaceuticals Pvt Ltd,87,0.81
Ochoa Laboratories Ltd,51,0.81
Osho Pharma Pvt Ltd,145,0.81
