full_composition,brands,cheapest_ppu,costliest_ppu
Aceclofenac (100mg) + Paracetamol (325mg),4661,0.523,75.0
Pantoprazole (40mg),2611,0.342,110.0
Domperidone (30mg) + Rabeprazole (20mg),2595,1.1,27.77
Levocetirizine (5mg) + Montelukast (10mg),2260,0.686,24.16
Rabeprazole (20mg),2068,0.525,425.0
Amoxycillin  (500mg) + Clavulanic Acid (125mg),2058,0.698,219.6
Azithromycin (500mg),1971,1.102,249.5
Ofloxacin (200mg),1966,0.163,105.0
Ofloxacin (200mg) + Ornidazole (500mg),1962,0.438,27.5
Glimepiride (2mg) + Metformin (500mg),1753,1.875,125.0
Domperidone (30mg) + Pantoprazole (40mg),1740,1.375,30.0
Cefixime (200mg),1667,1.182,150.0
Cefpodoxime Proxetil (200mg),1641,0.125,52.25
Deflazacort (6mg),1618,0.545,88.0
Levocetirizine (5mg),1576,0.187,19.0
